trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type,start station name,end station name
156654999,13,4/1/2021 10:40,4/1/2021 10:53,4273,34.02586,-118.284103,4267,34.027618,-118.280678,20010,30,One Way,Monthly Pass,standard,Hoover & 32nd,28th & University
156654995,10,4/1/2021 10:45,4/1/2021 10:55,4245,34.02404,-118.283409,4454,34.017899,-118.291718,6377,30,One Way,Monthly Pass,standard,University & Hoover,Vermont & Exposition
156654994,10,4/1/2021 10:45,4/1/2021 10:55,4245,34.02404,-118.283409,4454,34.017899,-118.291718,6413,30,One Way,Monthly Pass,standard,University & Hoover,Vermont & Exposition
156657503,27,4/1/2021 10:47,4/1/2021 11:14,3068,34.0532,-118.250954,4220,34.074829,-118.258728,6210,1,One Way,Walk-up,standard,Grand & 3rd,Park & Echo Park
156657599,21,4/1/2021 10:55,4/1/2021 11:16,3052,34.051102,-118.264557,4315,34.054031,-118.27092,17002,30,One Way,Monthly Pass,electric,7th & Bixel,Union & 7th
156657907,38,4/1/2021 10:57,4/1/2021 11:35,4215,34.014309,-118.491341,4211,33.984928,-118.469963,16917,1,One Way,Walk-up,electric,Downtown Santa Monica E Line Station,Pacific & North Venice
156657289,7,4/1/2021 10:58,4/1/2021 11:05,4446,34.05323,-118.278419,4300,34.04887,-118.2743,6601,30,One Way,Monthly Pass,standard,James M. Wood & Alvarado,Union & Olympic
156657905,37,4/1/2021 10:58,4/1/2021 11:35,4215,34.014309,-118.491341,4211,33.984928,-118.469963,17569,1,One Way,Walk-up,electric,Downtown Santa Monica E Line Station,Pacific & North Venice
156657288,6,4/1/2021 10:59,4/1/2021 11:05,3048,34.041691,-118.235352,4491,34.04744,-118.24794,13327,365,One Way,Annual Pass,standard,5th & Hewitt,Main & Winston
156657287,3,4/1/2021 11:00,4/1/2021 11:03,3007,34.05048,-118.254593,3005,34.0485,-118.258537,6472,365,One Way,Walk-up,standard,5th & Grand,7th & Flower
156657594,12,4/1/2021 11:05,4/1/2021 11:17,4300,34.04887,-118.2743,3019,34.038609,-118.260857,19803,30,One Way,Monthly Pass,electric,Union & Olympic,12th & Hill
156657593,11,4/1/2021 11:08,4/1/2021 11:19,4304,34.06258,-118.290092,4447,34.0616,-118.28199,12051,30,One Way,Monthly Pass,standard,Shatto Pl & Wilshire,Rampart & Wilshire
156661080,74,4/1/2021 11:10,4/1/2021 12:24,3075,34.04211,-118.256187,3075,34.04211,-118.256187,5787,1,Round Trip,Walk-up,standard,Broadway & 9th,Broadway & 9th
156661079,74,4/1/2021 11:10,4/1/2021 12:24,3075,34.04211,-118.256187,3075,34.04211,-118.256187,12081,1,Round Trip,Walk-up,standard,Broadway & 9th,Broadway & 9th
156657696,9,4/1/2021 11:13,4/1/2021 11:22,3005,34.0485,-118.258537,3076,34.0406,-118.253838,6472,365,One Way,Walk-up,standard,7th & Flower,9th & Los Angeles
156658107,28,4/1/2021 11:14,4/1/2021 11:42,4215,34.014309,-118.491341,4214,33.99556,-118.481552,15697,1,One Way,One Day Pass,standard,Downtown Santa Monica E Line Station,Ocean Front Walk & Navy
156658105,27,4/1/2021 11:15,4/1/2021 11:42,4215,34.014309,-118.491341,4214,33.99556,-118.481552,13218,1,One Way,One Day Pass,standard,Downtown Santa Monica E Line Station,Ocean Front Walk & Navy
156658104,27,4/1/2021 11:16,4/1/2021 11:43,4215,34.014309,-118.491341,4214,33.99556,-118.481552,15730,1,One Way,One Day Pass,standard,Downtown Santa Monica E Line Station,Ocean Front Walk & Navy
156658103,26,4/1/2021 11:16,4/1/2021 11:42,4215,34.014309,-118.491341,4214,33.99556,-118.481552,15109,1,One Way,One Day Pass,standard,Downtown Santa Monica E Line Station,Ocean Front Walk & Navy
156657694,6,4/1/2021 11:17,4/1/2021 11:23,3035,34.048401,-118.260948,3005,34.0485,-118.258537,5845,30,One Way,Monthly Pass,standard,Figueroa & 8th,7th & Flower
156657788,6,4/1/2021 11:24,4/1/2021 11:30,4315,34.054031,-118.27092,3005,34.0485,-118.258537,17002,30,One Way,Monthly Pass,electric,Union & 7th,7th & Flower
156657989,12,4/1/2021 11:27,4/1/2021 11:39,4204,33.988419,-118.45163,4202,33.991161,-118.468292,17388,30,One Way,Monthly Pass,electric,Washington & Abbot Kinney,Abbot Kinney & Cadiz
