model_name,fold_id,horizon,horizon_step,target_date,point_forecast,actual,residual,abs_error
naive,1,7,2,2024-08-08,1.0,2.0,1.0,1.0
naive,1,7,2,2024-08-08,1.0,2.0,1.0,1.0
naive,1,7,2,2024-08-08,4.0,2.0,-2.0,2.0
naive,1,7,2,2024-08-08,2.0,2.0,0.0,0.0
naive,1,7,2,2024-08-08,4.0,1.0,-3.0,3.0
naive,1,7,2,2024-08-08,3.0,5.0,2.0,2.0
naive,1,7,2,2024-08-08,7.0,23.0,16.0,16.0
naive,1,7,2,2024-08-08,3.0,1.0,-2.0,2.0
naive,1,7,2,2024-08-08,15.0,13.0,-2.0,2.0
naive,1,7,2,2024-08-08,1.0,5.0,4.0,4.0
naive,1,7,2,2024-08-08,2.0,3.0,1.0,1.0
naive,1,7,2,2024-08-08,1.0,3.0,2.0,2.0
naive,1,7,2,2024-08-08,1.0,6.0,5.0,5.0
naive,1,7,2,2024-08-08,3.0,3.0,0.0,0.0
naive,1,7,2,2024-08-08,3.0,5.0,2.0,2.0
naive,1,7,2,2024-08-08,4.0,5.0,1.0,1.0
naive,1,7,2,2024-08-08,6.0,15.0,9.0,9.0
naive,1,7,2,2024-08-08,3.0,4.0,1.0,1.0
naive,1,7,2,2024-08-08,1.0,6.0,5.0,5.0
naive,1,7,2,2024-08-08,3.0,4.0,1.0,1.0
naive,1,7,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,7,2,2024-08-08,1.0,3.0,2.0,2.0
naive,1,7,2,2024-08-08,17.0,17.0,0.0,0.0
naive,1,7,2,2024-08-08,3.0,4.0,1.0,1.0
naive,1,7,2,2024-08-08,1.0,3.0,2.0,2.0
naive,1,7,2,2024-08-08,1.0,1.0,0.0,0.0
naive,1,7,2,2024-08-08,7.0,17.0,10.0,10.0
naive,1,7,2,2024-08-08,2.0,4.0,2.0,2.0
naive,1,7,2,2024-08-08,5.0,2.0,-3.0,3.0
naive,1,7,2,2024-08-08,17.0,1.0,-16.0,16.0
naive,1,7,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,7,2,2024-08-08,1.0,2.0,1.0,1.0
naive,1,7,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,7,2,2024-08-08,21.0,26.0,5.0,5.0
naive,1,7,2,2024-08-08,17.0,14.0,-3.0,3.0
naive,1,7,2,2024-08-08,7.0,3.0,-4.0,4.0
naive,1,7,2,2024-08-08,9.0,10.0,1.0,1.0
naive,1,7,2,2024-08-08,8.0,9.0,1.0,1.0
naive,1,7,2,2024-08-08,6.0,11.0,5.0,5.0
naive,1,7,2,2024-08-08,2.0,2.0,0.0,0.0
naive,1,7,2,2024-08-08,4.0,2.0,-2.0,2.0
naive,1,7,2,2024-08-08,2.0,2.0,0.0,0.0
naive,1,7,2,2024-08-08,5.0,10.0,5.0,5.0
naive,1,7,2,2024-08-08,9.0,7.0,-2.0,2.0
naive,1,7,2,2024-08-08,2.0,2.0,0.0,0.0
naive,1,7,2,2024-08-08,2.0,2.0,0.0,0.0
naive,1,7,2,2024-08-08,13.0,21.0,8.0,8.0
naive,1,7,2,2024-08-08,1.0,1.0,0.0,0.0
naive,1,7,2,2024-08-08,6.0,3.0,-3.0,3.0
naive,1,7,2,2024-08-08,1.0,2.0,1.0,1.0
naive,1,7,2,2024-08-08,7.0,9.0,2.0,2.0
naive,1,7,2,2024-08-08,7.0,6.0,-1.0,1.0
naive,1,7,2,2024-08-08,1.0,3.0,2.0,2.0
naive,1,7,2,2024-08-08,13.0,12.0,-1.0,1.0
naive,1,7,2,2024-08-08,4.0,7.0,3.0,3.0
naive,1,7,2,2024-08-08,5.0,7.0,2.0,2.0
naive,1,7,2,2024-08-08,5.0,4.0,-1.0,1.0
naive,1,7,2,2024-08-08,2.0,4.0,2.0,2.0
naive,1,7,2,2024-08-08,1.0,1.0,0.0,0.0
naive,1,7,2,2024-08-08,1.0,4.0,3.0,3.0
naive,1,7,2,2024-08-08,1.0,3.0,2.0,2.0
naive,1,7,2,2024-08-08,3.0,2.0,-1.0,1.0
naive,1,7,2,2024-08-08,8.0,9.0,1.0,1.0
naive,1,7,2,2024-08-08,2.0,1.0,-1.0,1.0
naive,1,7,2,2024-08-08,12.0,11.0,-1.0,1.0
naive,1,7,2,2024-08-08,1.0,2.0,1.0,1.0
